,period,value,dataset_name,FREQ,REF_AREA,series_name,series_code
0,2007-10-01,84.5579,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
1,2008-01-01,86.4092,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
2,2008-04-01,88.4976,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
3,2008-07-01,89.8691,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
4,2008-10-01,89.5671,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
5,2009-01-01,89.0322,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
6,2009-04-01,89.9719,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
7,2009-07-01,91.8574,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
8,2009-10-01,93.8362,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
9,2010-01-01,97.0056,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
10,2010-04-01,99.4376,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
11,2010-07-01,101.1287,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
12,2010-10-01,102.4281,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
13,2011-01-01,102.9177,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
14,2011-04-01,105.5577,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
15,2011-07-01,106.6794,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
16,2011-10-01,108.1403,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
17,2012-01-01,110.4249,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
18,2012-04-01,112.1388,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
19,2012-07-01,113.4604,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
20,2012-10-01,115.8013,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
21,2013-01-01,117.7887,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
22,2013-04-01,120.0995,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
23,2013-07-01,122.6172,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
24,2013-10-01,124.5042,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
25,2014-01-01,126.4761,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
26,2014-04-01,128.2573,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
27,2014-07-01,128.4514,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
28,2014-10-01,129.1585,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
29,2015-01-01,130.4572,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
30,2015-04-01,131.5215,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
31,2015-07-01,132.5592,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
32,2015-10-01,133.5027,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
33,2016-01-01,134.8774,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
34,2016-04-01,137.5118,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
35,2016-07-01,139.4252,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
36,2016-10-01,141.737,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
37,2017-01-01,143.0592,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
38,2017-04-01,145.7183,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
39,2017-07-01,146.9223,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
40,2017-10-01,148.3919,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
41,2018-01-01,149.7469,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
42,2018-04-01,152.1575,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
43,2018-07-01,154.8373,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
44,2018-10-01,157.1299,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
45,2019-01-01,158.4531,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
46,2019-04-01,160.6551,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
47,2019-07-01,162.3734,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
48,2019-10-01,164.1339,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
49,2020-01-01,165.9246,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
50,2020-04-01,167.3993,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
51,2020-07-01,169.2837,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
52,2020-10-01,171.8215,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
53,2021-01-01,174.2257,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
54,2021-04-01,177.2164,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
55,2021-07-01,179.2413,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
56,2021-10-01,182.3713,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
57,2022-01-01,187.0303,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
58,2022-04-01,190.6606,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
59,2022-07-01,192.9547,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
60,2022-10-01,193.9335,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
61,2023-01-01,195.3565,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
62,2023-04-01,197.8176,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
63,2023-07-01,198.9065,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
64,2023-10-01,199.8702,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
65,2024-01-01,201.6852,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
66,2024-04-01,201.6695,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
