,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,SUBJECT,MEASURE,FREQUENCY,Country,Subject,Measure,Frequency
0,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1960,1960-01-01,7.2325,7.2325,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
1,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1961,1961-01-01,7.42625,7.42625,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
2,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1962,1962-01-01,7.98175,7.98175,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
3,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1963,1963-01-01,8.6835,8.6835,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
4,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1964,1964-01-01,9.71166666666666,9.71166666666666,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
5,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1965,1965-01-01,10.4634166666667,10.4634166666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
6,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1966,1966-01-01,11.125,11.125,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
7,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1967,1967-01-01,12.0416666666667,12.0416666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
8,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1968,1968-01-01,12.9833333333333,12.9833333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
9,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1969,1969-01-01,14.175,14.175,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
