,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,ADJUSTMENT,BS_REP_SECTOR,BS_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,CURRENCY_TRANS,BS_SUFFIX,Frequency code list,Area code list,Adjustment indicator code list,Balance sheet reference sector breakdown,Balance sheet item,Original maturity,Data Type,Counterpart geo area,Balance sheet counterpart sector,Currency code list,Suffix
0,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-01,1970-01-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
1,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-02,1970-02-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
2,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-03,1970-03-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
3,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-04,1970-04-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
4,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-05,1970-05-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
5,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-06,1970-06-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
6,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-07,1970-07-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
7,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-08,1970-08-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
8,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-09,1970-09-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
9,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-10,1970-10-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
10,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M10.A.1.U2.2300.Z01.E,"France monetary agregates, M1 [stocks]",1970-11,1970-11-01,NA,,M,FR,N,V,M10,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M1,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
