,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,freq,Frequency,REF_AREA
0,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2010,2010-01-01,2471205.79,2471205.79,A,Annual,IDN
1,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2011,2011-01-01,2877219.57,2877219.57,A,Annual,IDN
2,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2012,2012-01-01,3307507.55,3307507.55,A,Annual,IDN
3,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2013,2013-01-01,3730409.35,3730409.35,A,Annual,IDN
4,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2014,2014-01-01,4173326.5,4173326.5,A,Annual,IDN
5,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2015,2015-01-01,4548800.27,4548800.27,A,Annual,IDN
6,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2016,2016-01-01,5004976.79,5004976.79,A,Annual,IDN
7,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2017,2017-01-01,5419165.05,5419165.05,A,Annual,IDN
8,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2018,2018-01-01,5760046.2,5760046.2,A,Annual,IDN
9,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2019,2019-01-01,NA,,A,Annual,IDN
10,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2010,2010-01-01,661881.6,661881.6,A,Annual,IDN
11,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2011,2011-01-01,808641.97,808641.97,A,Annual,IDN
12,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2012,2012-01-01,963799.2,963799.2,A,Annual,IDN
13,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2013,2013-01-01,1068622.05,1068622.05,A,Annual,IDN
14,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2014,2014-01-01,1144253.53,1144253.53,A,Annual,IDN
15,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2015,2015-01-01,1245879.12,1245879.12,A,Annual,IDN
16,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2016,2016-01-01,1380678.5,1380678.5,A,Annual,IDN
17,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2017,2017-01-01,1520006.79,1520006.79,A,Annual,IDN
18,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2018,2018-01-01,1644862.86,1644862.86,A,Annual,IDN
19,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2019,2019-01-01,NA,,A,Annual,IDN
20,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2010,2010-01-01,52605.11,52605.11,A,Annual,IDN
21,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2011,2011-01-01,55915.45,55915.45,A,Annual,IDN
22,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2012,2012-01-01,63426.36,63426.36,A,Annual,IDN
23,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2013,2013-01-01,84329.67,84329.67,A,Annual,IDN
24,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2014,2014-01-01,90334.07,90334.07,A,Annual,IDN
25,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2015,2015-01-01,115787.42,115787.42,A,Annual,IDN
26,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2016,2016-01-01,126878.73,126878.73,A,Annual,IDN
27,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2017,2017-01-01,118326.3,118326.3,A,Annual,IDN
28,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2018,2018-01-01,124435.72,124435.72,A,Annual,IDN
29,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2019,2019-01-01,NA,,A,Annual,IDN
