,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,Frequency
0,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2000,2000-01-01,NA,,A,Annually
1,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2001,2001-01-01,NA,,A,Annually
2,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2002,2002-01-01,NA,,A,Annually
3,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2003,2003-01-01,NA,,A,Annually
4,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2004,2004-01-01,-6483.0,-6483.0,A,Annually
5,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2005,2005-01-01,-4127.0,-4127.0,A,Annually
6,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2006,2006-01-01,-5715.0,-5715.0,A,Annually
7,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2007,2007-01-01,-9544.0,-9544.0,A,Annually
8,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2008,2008-01-01,-6862.0,-6862.0,A,Annually
9,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2009,2009-01-01,-8976.0,-8976.0,A,Annually
10,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2010,2010-01-01,-11757.0,-11757.0,A,Annually
11,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2011,2011-01-01,-12226.0,-12226.0,A,Annually
12,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2012,2012-01-01,-12188.0,-12188.0,A,Annually
13,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2013,2013-01-01,-11926.0,-11926.0,A,Annually
14,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2014,2014-01-01,-14051.0,-14051.0,A,Annually
15,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2015,2015-01-01,-14727.0,-14727.0,A,Annually
16,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2016,2016-01-01,-17728.0,-17728.0,A,Annually
17,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2017,2017-01-01,-18996.0,-18996.0,A,Annually
18,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2018,2018-01-01,-20084.0,-20084.0,A,Annually
19,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-10,Current account of the balance of payments - balance on primary income - in mln EUR (line 10),2019,2019-01-01,-21115.0,-21115.0,A,Annually
