,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,freq,Frequency,section,Section
0,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2007,2007-01-01,349985.4496337879,349985.4496337879,A,Annual,,
1,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2008,2008-01-01,496208.2947942699,496208.2947942699,A,Annual,,
2,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2009,2009-01-01,78579.79100000013,78579.79100000013,A,Annual,,
3,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2010,2010-01-01,250316.219906,250316.219906,A,Annual,,
4,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2011,2011-01-01,594544.564,594544.564,A,Annual,,
5,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2012,2012-01-01,617863.6906580881,617863.6906580881,A,Annual,,
6,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2013,2013-01-01,507908.9960882354,507908.9960882354,A,Annual,,
7,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2014,2014-01-01,276593.2661871882,276593.2661871882,A,Annual,,
8,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2015,2015-01-01,-212714.21060165996,-212714.21060165996,A,Annual,,
9,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2016,2016-01-01,-89410.32313254273,-89410.32313254273,A,Annual,,
10,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2017,2017-01-01,39241.094487109076,39241.094487109076,A,Annual,,
11,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2018,2018-01-01,269894.1875525138,269894.1875525138,A,Annual,,
12,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2019,2019-01-01,143362.02211234713,143362.02211234713,A,Annual,,
13,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2020,2020-01-01,-85553.43163480118,-85553.43163480118,A,Annual,,
14,annual,SAMA,BPR,Balance of payments (millions riyals),1.A,Current account - Annual,2021,2021-01-01,166213.18968560742,166213.18968560742,A,Annual,,
15,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2007,2007-01-01,389883.5288837879,389883.5288837879,A,Annual,,
16,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2008,2008-01-01,548133.9061999999,548133.9061999999,A,Annual,,
17,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2009,2009-01-01,149953.4935000001,149953.4935000001,A,Annual,,
18,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2010,2010-01-01,328604.87803100003,328604.87803100003,A,Annual,,
19,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2011,2011-01-01,668425.9002500001,668425.9002500001,A,Annual,,
20,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2012,2012-01-01,690799.8859705881,690799.8859705881,A,Annual,,
21,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2013,2013-01-01,591563.8210882355,591563.8210882355,A,Annual,,
22,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2014,2014-01-01,359873.4168121882,359873.4168121882,A,Annual,,
23,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2015,2015-01-01,-109863.21529149992,-109863.21529149992,A,Annual,,
24,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2016,2016-01-01,10311.957296810026,10311.957296810026,A,Annual,,
25,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2017,2017-01-01,142566.15517871466,142566.15517871466,A,Annual,,
26,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2018,2018-01-01,394976.95703760773,394976.95703760773,A,Annual,,
27,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2019,2019-01-01,250946.53279057879,250946.53279057879,A,Annual,,
28,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2020,2020-01-01,2491.0394513859646,2491.0394513859646,A,Annual,,
29,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.A,Current account - Goods and services - Annual,2021,2021-01-01,275571.6306846214,275571.6306846214,A,Annual,,
30,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.a.1.A,Current account - Goods and services - Goods - General merchandise - Annual,2007,2007-01-01,568434.046705588,568434.046705588,A,Annual,,
31,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.a.1.A,Current account - Goods and services - Goods - General merchandise - Annual,2008,2008-01-01,797654.0171200001,797654.0171200001,A,Annual,,
32,annual,SAMA,BPR,Balance of payments (millions riyals),1.A.a.1.A,Current account - Goods and services - Goods - General merchandise - Annual,2009,2009-01-01,396780.9712,396780.9712,A,Annual,,
