,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,Frequency
0,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-01,2005-01-01,0.55,0.55,M,Monthly
1,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-02,2005-02-01,0.02,0.02,M,Monthly
2,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-03,2005-03-01,0.26,0.26,M,Monthly
3,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-04,2005-04-01,0.71,0.71,M,Monthly
4,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-05,2005-05-01,0.92,0.92,M,Monthly
5,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-06,2005-06-01,0.1,0.1,M,Monthly
6,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-07,2005-07-01,-0.57,-0.57,M,Monthly
7,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-08,2005-08-01,0.85,0.85,M,Monthly
8,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-09,2005-09-01,1.02,1.02,M,Monthly
9,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-10,2005-10-01,1.79,1.79,M,Monthly
10,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-11,2005-11-01,1.4,1.4,M,Monthly
11,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2005-12,2005-12-01,0.42,0.42,M,Monthly
12,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2006-01,2006-01-01,0.75,0.75,M,Monthly
13,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2006-02,2006-02-01,0.22,0.22,M,Monthly
14,monthly,TCMB,CPI,Consumer Price Index (2003=100) (TURKSTAT),cpimtm,CPI (Month to Month  % Changes),2006-03,2006-03-01,0.27,0.27,M,Monthly
