,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,3,480,482,496,501,544,nac,units,Type of data,GOODS AND SERVICES TRANSACTIONS,ACCOUNTING BALANCES,GFCG GOODS AND SERVICES TRANSACTION,Prices_ESA,Correction of effects,National Total,Units
0,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1995-Q1,1995-01-01,112760.0,112760.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
1,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1995-Q2,1995-04-01,114401.0,114401.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
2,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1995-Q3,1995-07-01,115628.0,115628.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
3,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1995-Q4,1995-10-01,117799.0,117799.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
4,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1996-Q1,1996-01-01,119460.0,119460.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
5,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1996-Q2,1996-04-01,121212.0,121212.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
6,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1996-Q3,1996-07-01,123582.0,123582.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
7,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1996-Q4,1996-10-01,124949.0,124949.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
8,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1997-Q1,1997-01-01,126164.0,126164.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
9,quarterly,INE-SPAIN,30680,1.3 GDP mp Demand (Current prices),CNTR4757,National Total. Seasonally and calendar adjusted data. Gross domestic product at market prices. Base data. Current prices.,1997-Q2,1997-04-01,127719.0,127719.0,72,,b1gq,,pcorr,y,00,euros,Base data,,Gross domestic product at market prices,,Current prices,Seasonally and calendar adjusted data,National Total,Euros
