,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,freq,Frequency
0,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2010,2010-01-01,2471205.79,2471205.79,A,Annual
1,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2011,2011-01-01,2877219.57,2877219.57,A,Annual
2,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2012,2012-01-01,3307507.55,3307507.55,A,Annual
3,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2013,2013-01-01,3730409.35,3730409.35,A,Annual
4,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2014,2014-01-01,4173326.5,4173326.5,A,Annual
5,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2015,2015-01-01,4548800.27,4548800.27,A,Annual
6,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2016,2016-01-01,5004976.79,5004976.79,A,Annual
7,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2017,2017-01-01,5419165.05,5419165.05,A,Annual
8,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2018,2018-01-01,5760046.2,5760046.2,A,Annual
9,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),1.A,Broad Money (M2) - Annual,2019,2019-01-01,NA,,A,Annual
10,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2010,2010-01-01,661881.6,661881.6,A,Annual
11,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2011,2011-01-01,808641.97,808641.97,A,Annual
12,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2012,2012-01-01,963799.2,963799.2,A,Annual
13,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2013,2013-01-01,1068622.05,1068622.05,A,Annual
14,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2014,2014-01-01,1144253.53,1144253.53,A,Annual
15,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2015,2015-01-01,1245879.12,1245879.12,A,Annual
16,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2016,2016-01-01,1380678.5,1380678.5,A,Annual
17,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2017,2017-01-01,1520006.79,1520006.79,A,Annual
