,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,Frequency,Territory,Aggregate,Valuation,Adjustment,Edition
0,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,1995,1995-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
1,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,1996,1996-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
2,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,1997,1997-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
3,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,1998,1998-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
4,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,1999,1999-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
5,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2000,2000-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
6,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2001,2001-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
7,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2002,2002-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
8,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2003,2003-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
9,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2004,2004-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
10,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2005,2005-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
11,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2006,2006-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
12,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2007,2007-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
13,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2008,2008-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
14,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2009,2009-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
15,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2010,2010-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
16,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2011,2011-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
17,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2012,2012-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
18,annual,ISTAT,92_506_DF_DCCN_PILN_1,Gross Domestic Product and main components,A.IT.B1GQ_1.L_2020.N.2024M9,annual – Italy – OUTPUT APPROACH – chain linked - reference year 2020 – raw data – Sep-2024,2013,2013-01-01,NA,,A,IT,B1GQ_1,L_2020,N,2024M9,annual,Italy,OUTPUT APPROACH,chain linked - reference year 2020,raw data,Sep-2024
